datetime,mainclass,subclass,sfilepath,analyst,wavfile1,wavfile2,numarrivals,nummagnitudes,numaefrows,duration
1998-03-30 10:21:03,R,_,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/03/30-1021-03R.S199803,lo ,WAV/MVOE_/1998/03/9803-30-1021-03S.MVO_18_1,-, 0,0, 0, 62.0
1998-03-30 10:59:31,LV,r,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/03/30-1059-31L.S199803,lo ,WAV/MVOE_/1998/03/9803-30-1059-31S.MVO_18_1,-, 0,0, 0,108.0
1998-03-30 12:30:56,LV,t,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/03/30-1230-56L.S199803,lo ,WAV/MVOE_/1998/03/9803-30-1230-56S.MVO_18_1,-, 0,0, 0, 33.0
1998-03-30 13:24:35,R,_,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/03/30-1324-35R.S199803,lo ,WAV/MVOE_/1998/03/9803-30-1324-35S.MVO_18_1,-, 0,0, 0, 64.0
1998-03-30 19:21:33,LV,r,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/03/30-1921-33L.S199803,lo ,WAV/MVOE_/1998/03/9803-30-1921-33S.MVO_18_1,-, 0,0, 0, 89.0
1998-03-30 19:51:00,LV,r,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/03/30-1951-00L.S199803,lo ,WAV/MVOE_/1998/03/9803-30-1951-00S.MVO_18_1,-, 0,0, 0, 48.0
1998-03-30 20:26:51,LV,t,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/03/30-2026-51L.S199803,lo ,WAV/MVOE_/1998/03/9803-30-2026-51S.MVO_18_1,-, 0,0, 0, 32.0
1998-03-30 22:24:10,LV,r,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/03/30-2224-10L.S199803,lo ,WAV/MVOE_/1998/03/9803-30-2224-10S.MVO_18_1,-, 0,0, 0, 34.0
1998-03-30 23:07:22,LV,r,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/03/30-2307-22L.S199803,lo ,WAV/MVOE_/1998/03/9803-30-2307-22S.MVO_18_1,-, 0,0, 0, 43.0
1998-03-30 23:50:40,LV,r,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/03/30-2350-40L.S199803,lo ,WAV/MVOE_/1998/03/9803-30-2350-40S.MVO_18_1,-, 0,0, 0, 30.0
1998-03-31 03:17:05,R,_,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/03/31-0317-05R.S199803,lo ,WAV/MVOE_/1998/03/9803-31-0317-05S.MVO_18_1,-, 0,1, 0, 76.0
1998-03-31 06:48:44,LV,r,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/03/31-0648-44L.S199803,lo ,WAV/MVOE_/1998/03/9803-31-0648-44S.MVO_18_1,-, 0,0, 0, 72.0
1998-03-31 09:04:22,LV,r,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/03/31-0904-22L.S199803,lo ,WAV/MVOE_/1998/03/9803-31-0904-22S.MVO_18_1,-, 0,0, 0, 68.0
1998-03-31 19:32:19,LV,r,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/03/31-1932-19L.S199803,lo ,WAV/MVOE_/1998/03/9803-31-1932-19S.MVO_18_1,-, 0,0, 0, 57.0
1998-03-31 22:49:22,LV,r,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/03/31-2249-22L.S199803,lo ,WAV/MVOE_/1998/03/9803-31-2249-22S.MVO_18_1,-, 0,0, 0, 77.0
1998-03-31 23:21:38,LV,r,/home/thompsong/Desktop/Montserrat/data/seismo/REA/MVOE_/1998/03/31-2321-38L.S199803,lo ,WAV/MVOE_/1998/03/9803-31-2321-38S.MVO_18_1,-, 0,0, 0, 58.0
